Product Name,Price,Rating
"Bruhm BGC-5540IF, 50*55cm Cooker (4 Gas Burners) - Silver","KSh 26,995",4.1 out of 5
Soko Maize Meal – 10Kg,KSh 799,4.2 out of 5
"Vision Plus 43"" FHD ANDROID TV + Free Wall Mount + 2 Year WRNTY","KSh 20,330",4.1 out of 5
NIVEA Rich Nourishing Body Lotion For Women - 400ml (Pack Of 2),KSh 960,4.5 out of 5
"Apple MacBook Pro 13"" Core I5 2.4GHz 8GB RAM, 500GB HDD (2012) Silver Refurbished","KSh 24,500",3.6 out of 5
"TCL 43S5400 S Series, 43"" Full HD Smart TV - Black","KSh 25,999",4.3 out of 5
"Roch RFR-160DT-B Double Door Fridge, 126L - Silver  (1YR WRTY)","KSh 24,340",4.4 out of 5
"XIAOMI Redmi 14C, 6.88"", 128GB + 6GB RAM (Dual SIM), 5160mAh, Midnight Black (2YRS WRTY)","KSh 11,799",4.2 out of 5
"XIAOMI A3 Pro, 6.88"", 4GB RAM + 128GB (Dual Sim), 5160mAH,Midnight Black (2YRS WRTY)","KSh 11,500",4.3 out of 5
"HP Refurbished Elitebook 820 Core I5, 8GB RAM 256GB SSD -12.5"", Black, 6 Months WRTY","KSh 15,990",4 out of 5
Jameson Irish Whiskey - 750 Ml,"KSh 1,999",4.6 out of 5
"Poco  C75, 6.88"", 128GB + 6GB RAM (Dual SIM), 5160mAh, Black (2YRs WRTY)","KSh 12,160",4.3 out of 5
NIVEA Waterlily & Oil Shower Gel For Women 250ml (Pack Of 2),KSh 952,4.6 out of 5
"Nec Laptop New VersaPro X360, 4 GB RAM, 64 GB SSD, 11"" Windows 11 , Black","KSh 12,499",5 out of 5
Jameson Jameson Irish Whiskey - 1 Litre,"KSh 2,799",4.6 out of 5
Tusker Lager Can - 500ml - Pack of 6,"KSh 1,099",4.6 out of 5
Hisense 7.5Kg Twin Tub Top Load Washing Machine - White (2YRs WRTY),"KSh 18,599",4.4 out of 5
Solarmax 300 WATTS FULLKIT:300WATTS PANEL+200AH BATTERY+1000 WATTS INVERTER+30A CONTROLLER+4 BULBS+10M CABLE,"KSh 20,999",3.2 out of 5
"Vitron 4068FS, 40"" Smart Android TV, Netflix, Youtube - Black (1YR WRTY)","KSh 16,813",4.1 out of 5
Women Bags Handbag Shoulder Women Bag Mini Cross Body Bags Women Handbag,"KSh 1,100",3.9 out of 5
Tisa Nyota Ladies Handbags PU Leather Bucket Bags 3 In 1-Pink,"KSh 1,150",3.8 out of 5
"Vision Plus VP8855KV - 55"" 4K Frameless V+ OS Smart TV","KSh 38,462",4.3 out of 5
Cil Pishori Aromatic Rice - 5kg,"KSh 1,399",4.3 out of 5
Ecoa Char And Grill Bundle (Formerly Jikokoa),"KSh 6,000",4.5 out of 5
"HP Refurbished ProBook 640 G1 Core I5, 8GB RAM, 500GB HDD, Windows 10, 6 Months WRTY","KSh 14,906",3.1 out of 5
"Vision Plus 50"" 4K Frameless, Netflix Official Smart Content TV +Free Wall Mount(2YRs WRTY)","KSh 32,967",4.2 out of 5
HP Chromebook 11 G7 - Intel Celeron - 4GB RAM / 16GB SSD EMMC - Type C - WiFi - Webcam - Bluetooth - Chrome OS - Refurb.,"KSh 8,299",3.2 out of 5
"Lenovo 100e Chromebook - AMD A4 -9120C Radeon R4 - Storage 4GB RAM - 32GB EMMC - Chrome OS - 11.6"" Screen– WiFi- Refurb  (6 Months WRTY)","KSh 8,999",4.4 out of 5
"Epson EcoTank L3210 A4 Printer (All-in-One), (1YR WRTY)","KSh 21,999",4.7 out of 5
HP EliteBook 820 G3 Intel Core I5 8GB-256GB SSD Silver-12.6 Inch Refurbished,"KSh 18,499",3.4 out of 5
"HP DeskJet 2320 All-in-One Printer, Print, Copy, Scan, USB Interface, White (1YR WRTY)","KSh 7,999",3.4 out of 5
"Itel A60s, 6.6"", 128GB + 4GB RAM, Dual SIM, 5000mAh, 4G -?Glacier Green (1YR WRTY)","KSh 8,999",4.1 out of 5
